序号,测试日期,电机编号,额定转速rpm,实测转速rpm,温度,电流A,测试员,备注
1,2026-07-01,M-01,3000,3002,43,1.3,张工,
2,2026-07-01,M-02,3000,3007,43,1.27,张工,
3,2026-07-01,M-03,3000,3007,45,1.27,王工,
4,2026-07-01,M-04,3000,3002,43,1.27,李工,
5,2026-07-01,M-05,3000,3001,45,1.23,李工,
6,2026-07-02,M-06,3000,2997,41,1.29,李工,
7,2026-07-02,M-07,3000,2995,41,1.32,张工,
8,2026-07-02,M-08,3000,2998,44,1.24,刘工,
9,2026-07-02,M-09,3000,2997,44,1.25,张工,
10,2026-07-02,M-10,3000,3001,42,1.27,刘工,
11,2026-07-03,M-11,3000,2996,47,1.28,赵工,
12,2026-07-03,M-12,3000,2994,45,1.24,张工,
13,2026-07-03,M-13,3000,3001,40,1.24,张工,
14,2026-07-03,M-14,3000,3000,45,1.29,张工,
15,2026-07-03,M-15,3000,2999,43,1.24,李工,
16,2026-07-04,M-16,3000,2996,43,1.31,李工,
17,2026-07-04,M-17,3000,3001,40,1.29,刘工,
18,2026-07-04,M-18,3000,2998,42,1.3,刘工,
19,2026-07-04,M-19,3000,3005,45,1.25,张工,
20,2026-07-04,M-20,3000,2998,44,1.31,刘工,
21,2026-07-05,M-21,3000,2997,43,1.25,李工,
22,2026-07-05,M-22,3000,2994,45,1.32,刘工,
23,2026-07-05,M-23,3000,2999,46,1.29,赵工,
24,2026-07-05,M-24,3000,2996,44,1.33,李工,
25,2026-07-05,M-25,3000,2999,47,1.22,赵工,
26,2026-07-06,M-26,3000,3004,44,1.27,刘工,
27,2026-07-06,M-27,3000,3000,40,1.27,王工,
28,2026-07-06,M-28,3000,3001,46,1.26,张工,
29,2026-07-06,M-29,3000,2995,42,1.31,李工,
30,2026-07-06,M-30,3000,3001,42,1.3,赵工,
