序号,测试日期,电机编号,额定转速rpm,实测转速rpm,温度,电流A,测试员,备注
1,2026-07-01,M-01,3000,2995,42,1.28,王工,
2,2026-07-01,M-02,3000,3001,44,1.3,张工,
3,2026-07-01,M-03,3000,3000,46,1.27,刘工,
4,2026-07-01,M-04,3000,3010,45,1.25,李工,
5,2026-07-01,M-05,3000,2835,50,1.43,刘工,转速偏差过大，检查编码器
6,2026-07-02,M-06,3000,2994,44,1.27,王工,
7,2026-07-02,M-07,3000,3003,44,1.28,刘工,
8,2026-07-02,M-08,3000,2995,40,1.27,李工,
9,2026-07-02,M-09,3000,2881,44,1.24,王工,转速传感器未读到
10,2026-07-02,M-10,3000,3000,44,1.25,张工,
11,2026-07-03,M-11,3000,3000,44,1.25,李工,
12,2026-07-03,M-12,3000,2881,59,2.07,张工,机械卡死，立即停机
13,2026-07-03,M-13,3000,3001,45,1.31,王工,
14,2026-07-03,M-14,3000,3005,45,1.25,李工,
15,2026-07-03,M-15,3000,3002,45,1.3,赵工,
16,2026-07-04,M-16,3000,3010,45,1.31,赵工,
17,2026-07-04,M-17,3000,3004,45,1.27,李工,
18,2026-07-04,M-18,3000,3003,42,1.27,王工,
19,2026-07-04,M-19,3000,2835,52,1.45,李工,转速偏差过大，检查编码器
20,2026-07-04,M-20,3000,2997,44,1.35,赵工,
21,2026-07-05,M-21,3000,2990,45,1.23,刘工,
22,2026-07-05,M-22,3000,2997,46,1.28,赵工,
23,2026-07-05,M-23,3000,2994,42,1.3,王工,
24,2026-07-05,M-24,3000,2996,44,1.28,李工,
25,2026-07-05,M-25,3000,2996,48,1.34,李工,电流表故障
26,2026-07-06,M-26,3000,2989,44,1.26,刘工,
27,2026-07-06,M-27,3000,0,68,2.08,赵工,机械卡死，立即停机
28,2026-07-06,M-28,3000,3004,42,1.28,李工,
29,2026-07-06,M-29,3000,3002,45,1.24,赵工,
30,2026-07-06,M-30,3000,2998,43,1.26,刘工,
